Year,Diatoms,Dinoflagellates,Flagellates,Total_med,Kiselalger_max,Dinoflagellater_max,Flagellater_max,Total_max
1994,1026600,129689.473684211,3305884.21052632,4462173.68421053,12188300,465600,8283800,14826900
1995,483288.888888889,166506.666666667,3032691.66666667,3682487.22222222,3074500,348860,8629800,8844540
1996,337122.727272727,119836.454545455,3828886.36363636,4285845.54545455,3272200,404980,9471900,10036620
1997,130965.454545455,81819.5454545455,3733968.27272727,3946753.27272727,1198200,352360,15242200,15423880
1998,78212.5,146341,4554540,4779093.5,721100,572900,23368700,24166100
1999,174823.80952381,170661.904761905,5254633.33333333,5600119.04761905,1389100,566000,10846000,11362800
2000,218789.090909091,146474.545454545,2332249.09090909,2697512.72727273,1038700,410620,11402350,11798490
2001,277632.727272727,160110.909090909,4630801.81818182,5068545.45454545,1551640,485360,12052900,12303510
2002,380014,64288.6666666667,1608832,2053134.66666667,2548120,195270,6459800,7734540
2003,687722.272727273,51497.7272727273,2742038.18181818,3481258.18181818,8472260,239450,16842250,18331400
2004,300927.142857143,33460.9523809524,1091752.85714286,1426140.95238095,2543700,117860,7861800,7954640
2005,545671.428571429,85208.5714285714,3162148.57142857,3793028.57142857,9988050,836540,23254520,24093140
2006,307070,115465.714285714,4490048.0952381,4912583.80952381,2394770,680440,21517650,21750070
2007,614404.090909091,77594.5454545455,1524652.27272727,2216650.90909091,4352620,266780,6773520,7838200
2008,691500,52387.1428571429,846543.809523809,1590430.95238095,8617450,187720,2787550,8876850
2009,1133271.81818182,54486.3636363636,854443.181818182,2042201.36363636,19697540,209560,8262800,19961380
2010,209996.5,40719,647929,898644.5,1669440,111620,4002850,4172850
2011,225633.5,70876,845331,1141840.5,1422200,279890,4424270,4544720
2012,86496.8421052632,39657.3684210526,353045.263157895,479199.473684211,454830,139700,1109900,1257040
2013,576640,31232.7272727273,2611537.27272727,3219410,9281920,176680,13615080,22923300
2014,421227.272727273,45129.0909090909,3544287.27272727,4010643.63636364,3822960,304440,9167720,10972620
2015,197501.818181818,33140.9090909091,2461198.18181818,2691840.90909091,1897200,126940,15006960,15071380
2016,354858.727272727,20673,2577520.72727273,2953052.45454545,6243520,221320,7837480,7858040
