River_type,Year,DisTot_max_rel,DisTot_max_month,DisTot_40perc,DisTot_60perc,DisTot_80perc
Distant,1990,84.9632913564876,5,1,2,5
Distant,1991,63.2269736051447,4,1,4,NA
Distant,1992,77.0984897015018,5,5,5,NA
Distant,1993,121.165717045073,5,1,5,5
Distant,1994,110.213474071703,5,1,4,5
Distant,1995,184.989028254767,6,1,5,5
Distant,1996,57.8014756287611,5,5,NA,NA
Distant,1997,76.0513083443455,6,1,5,NA
Distant,1998,111.701451504131,5,1,5,5
Distant,1999,106.617778112203,6,1,4,5
Distant,2000,110.280597391015,5,1,5,5
Distant,2001,114.053151566892,5,1,1,5
Distant,2002,105.9197750538,5,1,4,5
Distant,2003,97.8145865563417,5,4,5,5
Distant,2004,93.4870326242805,5,1,4,5
Distant,2005,75.4749535317678,6,1,5,NA
Distant,2006,114.041369257179,5,1,5,5
Distant,2007,78.7493922211819,6,1,5,NA
Distant,2008,165.281142875476,5,1,4,5
Distant,2009,85.3558565857533,5,1,4,5
Distant,2010,84.7856908993523,5,1,5,5
Distant,2011,105.797259645585,6,4,4,6
Distant,2012,79.7323747399348,5,1,5,NA
Distant,2013,126.679434616315,5,1,5,5
Distant,2014,111.649709732244,5,1,1,5
Distant,2015,78.7796663169279,6,1,5,NA
Distant,2016,78.2890187618369,5,1,4,NA
Local,1990,150.557704975766,2,1,1,2
Local,1991,71.1099829751208,4,1,1,NA
Local,1992,57.7764049549722,5,1,NA,NA
Local,1993,76.4373080773899,5,1,1,NA
Local,1994,172.944067184753,5,4,4,4
Local,1995,107.251279001293,6,1,1,1
Local,1996,72.5810170146995,5,4,5,NA
Local,1997,61.7063161294361,5,2,5,NA
Local,1998,90.5105193556012,5,1,1,5
Local,1999,101.400457907209,6,1,1,4
Local,2000,90.8955917308149,5,1,4,5
Local,2001,120.988896113786,5,1,1,1
Local,2002,98.232686154955,5,2,2,5
Local,2003,124.992307560493,5,1,4,5
Local,2004,89.2958266616884,4,1,4,4
Local,2005,73.3815421306014,1,1,1,NA
Local,2006,159.952604594688,5,4,5,5
Local,2007,91.2582627411407,1,1,1,1
Local,2008,116.962167862452,5,1,1,1
Local,2009,104.711564936829,4,1,4,4
Local,2010,80.51668147196,4,4,4,4
Local,2011,101.066485992314,4,4,4,4
Local,2012,61.921977314602,3,1,3,NA
Local,2013,150.116984734644,5,1,4,5
Local,2014,124.975493314259,3,1,1,1
Local,2015,72.9078530819741,1,1,1,NA
Local,2016,75.5480160265583,5,1,2,NA
