Station_name,Year,DisTot_max_rel,DisTot_max_month,DisTot_40perc,DisTot_60perc,DisTot_80perc
Drammenselva,1990,74.118238614996,5,1,5,NA
Drammenselva,1991,55.1831525343534,4,1,NA,NA
Drammenselva,1992,67.3584128842068,5,1,5,NA
Drammenselva,1993,115.314674231115,5,1,5,5
Drammenselva,1994,112.947788471034,5,1,5,5
Drammenselva,1995,189.41397776003,6,1,5,5
Drammenselva,1996,56.7926348512081,5,1,NA,NA
Drammenselva,1997,51.0363686826927,1,1,NA,NA
Drammenselva,1998,116.703247210362,5,1,5,5
Drammenselva,1999,95.3570938871304,5,1,4,5
Drammenselva,2000,85.5424072169839,5,1,5,5
Drammenselva,2001,128.745961957651,5,1,1,5
Drammenselva,2002,105.607286767105,5,1,4,5
Drammenselva,2003,110.921734260406,5,1,5,5
Drammenselva,2004,109.886616221331,5,1,4,5
Drammenselva,2005,57.202895049622,6,1,NA,NA
Drammenselva,2006,111.603397359309,5,1,5,5
Drammenselva,2007,76.8638260966892,5,1,1,NA
Drammenselva,2008,194.368658617799,5,1,3,5
Drammenselva,2009,87.7578122884188,5,1,4,5
Drammenselva,2010,98.5949932219068,5,1,5,5
Drammenselva,2011,102.647101643165,6,1,4,6
Drammenselva,2012,82.8851834703338,5,1,3,5
Drammenselva,2013,145.680240609105,5,1,1,5
Drammenselva,2014,125.242971032732,5,1,1,5
Drammenselva,2015,71.3221575704211,5,1,3,NA
Drammenselva,2016,70.9011674898946,5,1,1,NA
Glomma ved Sarpsfoss,1990,91.2929215599909,5,2,5,5
Glomma ved Sarpsfoss,1991,54.0734442653076,6,4,NA,NA
Glomma ved Sarpsfoss,1992,82.3747543429569,5,5,5,5
Glomma ved Sarpsfoss,1993,126.490018893257,5,1,5,5
Glomma ved Sarpsfoss,1994,102.814722836617,5,4,5,5
Glomma ved Sarpsfoss,1995,199.634362082144,6,5,5,5
Glomma ved Sarpsfoss,1996,60.2606779714965,6,5,6,NA
Glomma ved Sarpsfoss,1997,93.2792733748272,6,5,5,5
Glomma ved Sarpsfoss,1998,109.009162172122,5,5,5,5
Glomma ved Sarpsfoss,1999,121.695873521536,6,4,4,5
Glomma ved Sarpsfoss,2000,121.299563909144,5,4,5,5
Glomma ved Sarpsfoss,2001,94.0214531943972,5,1,5,5
Glomma ved Sarpsfoss,2002,100.148639989618,5,4,5,5
Glomma ved Sarpsfoss,2003,82.3843618487119,5,5,5,5
Glomma ved Sarpsfoss,2004,83.2250186022703,5,4,5,5
Glomma ved Sarpsfoss,2005,80.7390764881763,6,1,6,6
Glomma ved Sarpsfoss,2006,110.714494443626,5,5,5,5
Glomma ved Sarpsfoss,2007,78.0609842589835,6,1,5,NA
Glomma ved Sarpsfoss,2008,148.67615155788,5,1,5,5
Glomma ved Sarpsfoss,2009,85.8670826848821,5,4,5,5
Glomma ved Sarpsfoss,2010,78.4644995006917,6,1,5,NA
Glomma ved Sarpsfoss,2011,121.205890728034,6,4,6,6
Glomma ved Sarpsfoss,2012,84.8249184082556,6,4,5,6
Glomma ved Sarpsfoss,2013,119.988289197842,6,5,5,5
Glomma ved Sarpsfoss,2014,105.124583388987,5,1,3,5
Glomma ved Sarpsfoss,2015,85.7240029054264,6,3,5,6
Glomma ved Sarpsfoss,2016,78.6057778728183,5,1,5,NA
Nidelva ovenf. Rygene,1990,144.896874317166,2,1,1,2
Nidelva ovenf. Rygene,1991,68.1226350915841,4,1,1,NA
Nidelva ovenf. Rygene,1992,58.4029268760781,5,1,NA,NA
Nidelva ovenf. Rygene,1993,83.1342345558178,5,1,1,5
Nidelva ovenf. Rygene,1994,176.519898853074,5,4,4,4
Nidelva ovenf. Rygene,1995,109.314602151484,6,1,1,1
Nidelva ovenf. Rygene,1996,71.2712790339476,5,4,5,NA
Nidelva ovenf. Rygene,1997,64.6195392299922,5,2,5,NA
Nidelva ovenf. Rygene,1998,94.0296803647945,5,1,4,5
Nidelva ovenf. Rygene,1999,105.013352622836,6,1,1,4
Nidelva ovenf. Rygene,2000,95.6458533400455,5,1,5,5
Nidelva ovenf. Rygene,2001,123.783370770126,5,1,1,1
Nidelva ovenf. Rygene,2002,98.557251436941,5,2,2,5
Nidelva ovenf. Rygene,2003,125.688912063551,5,1,4,5
Nidelva ovenf. Rygene,2004,85.8352619071672,4,1,4,4
Nidelva ovenf. Rygene,2005,75.200271014351,1,1,1,NA
Nidelva ovenf. Rygene,2006,152.258590775545,5,4,5,5
Nidelva ovenf. Rygene,2007,90.7145707902174,1,1,1,1
Nidelva ovenf. Rygene,2008,124.753898333091,5,1,1,1
Nidelva ovenf. Rygene,2009,97.91436057323,4,1,4,4
Nidelva ovenf. Rygene,2010,81.3472456559123,5,4,4,5
Nidelva ovenf. Rygene,2011,99.499505433588,4,4,4,4
Nidelva ovenf. Rygene,2012,62.4053538940738,3,1,3,NA
Nidelva ovenf. Rygene,2013,145.579878219107,5,4,5,5
Nidelva ovenf. Rygene,2014,111.858728358559,3,1,1,1
Nidelva ovenf. Rygene,2015,72.5938352512539,5,1,1,NA
Nidelva ovenf. Rygene,2016,81.0380890864675,5,1,1,5
Numedalslågen,1990,93.3056116811368,6,1,2,2
Numedalslågen,1991,93.5808736372703,4,1,3,4
Numedalslågen,1992,77.2250671310696,5,4,5,NA
Numedalslågen,1993,84.2525511678968,5,1,5,5
Numedalslågen,1994,120.288810740711,5,1,4,4
Numedalslågen,1995,138.726424541135,6,1,1,5
Numedalslågen,1996,72.8548938512886,5,1,4,NA
Numedalslågen,1997,68.0421129293945,6,4,5,NA
Numedalslågen,1998,108.459343493112,5,1,4,4
Numedalslågen,1999,107.007772102996,4,1,4,4
Numedalslågen,2000,87.6306644499638,5,1,4,5
Numedalslågen,2001,147.654546959245,5,1,1,1
Numedalslågen,2002,89.0130648273392,5,1,4,5
Numedalslågen,2003,121.702376624314,5,4,4,5
Numedalslågen,2004,99.2577659705106,5,3,4,4
Numedalslågen,2005,63.992983577346,6,1,6,NA
Numedalslågen,2006,126.230473591664,5,1,1,5
Numedalslågen,2007,83.9535425416644,6,1,4,6
Numedalslågen,2008,153.321750155773,5,1,4,5
Numedalslågen,2009,119.501818185095,4,1,1,4
Numedalslågen,2010,94.9242485029678,5,1,4,5
Numedalslågen,2011,80.3063766645973,4,4,4,4
Numedalslågen,2012,77.1069290752358,5,1,1,NA
Numedalslågen,2013,142.843154143442,5,1,5,5
Numedalslågen,2014,100.978001277527,5,1,1,3
Numedalslågen,2015,70.5274967339684,5,1,3,NA
Numedalslågen,2016,77.3113454433355,5,1,1,NA
Otra,1990,167.487524875691,2,1,1,1
Otra,1991,96.2769602430407,4,1,1,1
Otra,1992,84.1869426671957,5,1,1,5
Otra,1993,111.414233459973,5,1,1,1
Otra,1994,118.920008841883,5,1,1,3
Otra,1995,89.607255657472,5,1,1,1
Otra,1996,63.3103288398397,1,1,1,NA
Otra,1997,84.9868670377944,3,1,3,3
Otra,1998,87.4867535348077,4,1,1,4
Otra,1999,106.224629799903,4,1,1,1
Otra,2000,116.638935143407,5,1,1,1
Otra,2001,103.288972333049,4,1,1,1
Otra,2002,81.5156144097945,2,1,1,2
Otra,2003,79.3360432651649,1,1,1,NA
Otra,2004,78.2627287913838,3,1,1,NA
Otra,2005,127.549634142619,1,1,1,1
Otra,2006,76.1540194302273,5,1,1,NA
