River_type,Year,TotN,NO3,TotP,TOC,Discharge,PO4,SPM,Si
Distant,1990,19463081.2591628,12219256.5675289,615017.016857549,NA,47827372397.6528,252706.372517273,361659570.456748,NA
Distant,1991,16760372.5421273,10724983.2950008,475913.685372789,NA,34894850213.8589,191504.072262892,145554936.715308,NA
Distant,1992,19654145.9964845,13168084.8379105,552369.469646057,143009254.874318,38657293486.4021,182374.079307019,425194098.235251,NA
Distant,1993,21669289.6865732,13455592.1753209,522730.714946406,159948386.066411,46692533076.7025,225768.700883362,283252102.340783,NA
Distant,1994,22144055.2452748,14302160.615912,416933.858346513,181588739.656728,44697676299.969,150669.80254201,212866967.767021,NA
Distant,1995,23670268.1590535,15117408.0916173,820487.865737891,177230854.520667,48499485988.5676,406865.059151525,391398870.750573,109764361.000745
Distant,1996,17331417.0617672,11181033.8023976,374921.059230874,128676823.003669,32751665065.9758,130980.469980698,165122220.688406,77911429.5385859
Distant,1997,19487393.9964545,12726076.1938468,461866.067991017,159363877.661405,39900355760.9195,208829.922996042,260489529.727946,97664245.10816
Distant,1998,23444924.2758617,14338499.0779078,427344.476919062,191666375.905852,49512907811.1716,165809.246252019,176990356.484453,129545285.728584
Distant,1999,24053061.8552418,14773789.5282686,310838.285206072,175610115.075017,49006787766.201,269663.519876987,340177756.541718,155245469.353
Distant,2000,32893345.1794577,17544866.2695485,468860.690069411,272888266.919935,64500421370.4915,320481.314016564,531179782.388037,306603506.783445
Distant,2001,22204223.2102429,12945318.9994245,413387.099385288,204939617.230022,52213680097.6988,232941.967304044,292432545.699077,172289667.814003
Distant,2002,19025947.1615428,12401126.852062,397082.489433324,160052425.217983,43961636284.2658,201557.478354033,157615630.635312,135674584.330774
Distant,2003,19396758.8719712,13796738.6698698,380118.503834322,149356775.406248,38829268321.9253,78767.7920483148,161710076.351282,132254747.967117
Distant,2004,21193916.2775024,12853943.9374122,493560.024276997,154991997.776127,42863603484.5188,226632.875372828,249175787.498853,127790483.967152
Distant,2005,18923300.2648807,12076778.1378224,494717.879814979,143148661.865839,43307733766.1174,206867.700281047,236475543.660632,128261822.2847
Distant,2006,25682420.5483345,15413050.6372632,587096.747672989,193159094.97012,47445811137.5739,282361.985573759,287627009.270036,154234011.318412
Distant,2007,23238770.5860457,14676291.5335479,646648.71659614,174150870.050227,50036572854.3907,335635.670732565,405171211.458134,158070051.578779
Distant,2008,25561504.2895312,15752881.7117059,836993.982986163,192882091.594956,55351484895.5007,420309.36832519,480350149.937858,199109907.901733
Distant,2009,21883700.9943197,11715472.6972216,571100.845567283,184269977.725782,48284947921.5892,233146.961561319,233437725.638847,156619110.655931
Distant,2010,21205253.1197409,12466906.8931104,472812.203752459,187677432.374995,46843819781.6367,204652.961552252,211904646.564897,154213222.73682
Distant,2011,28858186.1061013,15487874.9917869,971564.359090261,253679157.611286,57274880355.1044,482967.671844641,536318626.751562,199886385.110982
Distant,2012,26182408.1405099,13419655.8522807,989987.235284446,214431578.879379,53433908759.7537,566506.473520616,537406897.667386,181730479.206433
Distant,2013,24054814.9987955,14229216.278797,659524.370612443,181691197.584431,50306222996.8433,362965.716239949,354942807.371722,161544269.09654
Distant,2014,25345395.7575057,14161748.39348,702996.572011726,214329422.1698,56664073926.2095,423601.102071227,360313631.30152,184085999.470279
Distant,2015,25433296.7248447,13657786.2060798,711023.905470363,217660649.255056,52604193768.652,395046.124475321,398218176.321627,182355551.164018
Distant,2016,20308252.0161996,11413203.0688721,547817.218299911,158177598.443155,43635857508.5481,313560.30693925,375520533.274106,142928136.329149
