River_type,Year,Quarter,TrspTot_TOTN,TrspTot_NO3-N,TrspTot_TOTP,TrspTot_TOC,DisTot
Distant,1990,1,5403704.8949394,3567661.50823739,300284.08825945,15104443.9136216,11001069579.3545
Distant,1990,2,5784362.90471884,3571809.45771719,146278.764593248,31037098.1849197,14949510627.8318
Distant,1990,3,4298219.25668455,2417003.83916899,97312.1021153526,20748545.9972315,12458499430.094
Distant,1990,4,3976794.20281998,2662781.76240535,71142.0618894987,11402202.9429463,9418292760.37234
Distant,1991,1,4713281.21446435,3242075.38625884,176235.613150932,11108053.8996315,8659120365.05397
Distant,1991,2,5024617.60076695,3017496.60114538,139825.201604074,23751426.023529,11044437723.0311
Distant,1991,3,2766151.60396241,1563883.85025431,63615.2474472751,17202660.4578529,7263741686.09244
Distant,1991,4,4256322.12293358,2901527.45734228,96237.6231705077,25793011.1124705,7927550439.68145
Distant,1992,1,3792331.89746834,2747567.61369387,82896.2353468828,20176655.8739741,7136785820.70297
Distant,1992,2,5615043.18174307,3632336.37741217,170598.830448141,49645686.9588558,11588229874.5524
Distant,1992,3,3483636.94245082,1963743.43746908,92193.2116204101,30107708.0339371,9841422228.81811
Distant,1992,4,6763133.97482224,4824437.40933537,206681.192230623,43079204.0075508,10090855562.3286
Distant,1993,1,4341730.47364562,2959760.5474793,156556.126816248,31204546.4292516,8739318616.1181
Distant,1993,2,6064528.28958706,3895455.87326383,120369.898955116,45937793.2414302,14291132299.0427
Distant,1993,3,4901317.12109625,2534737.53503862,96154.6179458437,39953568.3963652,13088971123.9964
Distant,1993,4,6361713.80224424,4065638.21953913,149650.071229198,42852477.999364,10573111037.5453
Distant,1994,1,3831034.64650438,2618720.06814758,72571.2070347612,30799387.07164,7717417020.95986
Distant,1994,2,7887188.39118426,4811598.70122712,189528.760148683,68052139.1245526,16150327506.3908
Distant,1994,3,5776799.48668246,3698152.64249474,89784.9473903711,48925200.5177692,11661934027.0085
Distant,1994,4,4649032.72090366,3173689.20404257,65048.9437726978,33812012.9427662,9167997745.60984
Distant,1995,1,5224311.3081716,3665857.81118704,125786.434930493,31143336.4457049,9212148823.13048
Distant,1995,2,11097639.0097793,7047039.74269499,563868.924693353,90128801.7123751,21678808539.7832
Distant,1995,3,3949340.86321195,2192870.81113222,83378.0956768811,31669121.1624455,9808683008.81719
Distant,1995,4,3398976.97789058,2211639.72660306,47454.4104371637,24289595.2001417,7799845616.83677
Distant,1996,1,2757386.25532747,1831826.7006987,35601.8146996787,23229400.905978,6499384622.27852
Distant,1996,2,5713114.70738261,3597670.21758376,176978.521539837,43910256.5508653,9847448650.43966
Distant,1996,3,3296708.52585005,1961692.2250215,56439.5355014823,27079367.1087124,7110032840.41644
Distant,1996,4,5564207.57320709,3789844.6590936,105901.187489876,34457798.4381135,9294798952.84116
Distant,1997,1,4022644.23637531,2751272.10589226,158986.805816576,27581680.3727816,7585910511.46484
Distant,1997,2,6699218.72776474,4607744.68854292,157750.596420255,49936598.2994969,12242870820.4132
Distant,1997,3,3942250.49390748,2131039.81728196,77489.7841941601,44705204.0333241,10594403637.6333
Distant,1997,4,4823280.53840695,3236019.5821297,67638.8815600251,37140394.9558022,9477170791.40823
Distant,1998,1,5256374.3326262,3868504.38147266,85747.6405814511,35236641.3009927,9319066899.27482
Distant,1998,2,7063968.78404298,4446847.45440327,141928.961030095,65983133.3026754,16070963279.116
Distant,1998,3,5746440.65107943,2718520.1185921,112013.808979057,53032239.2760307,13170664547.8312
Distant,1998,4,5378140.5081131,3304627.12343973,87654.0663284592,37414362.0261537,10952213084.9495
Distant,1999,1,4157957.04440913,3090739.65191518,47668.8025707013,25136693.3413283,8799131491.75105
