Variable,Year,Value
River_TotN,1990,19463.0812591628
River_TotN,1991,16760.3725421273
River_TotN,1992,19654.1459964845
River_TotN,1993,21669.2896865732
River_TotN,1994,22144.0552452748
River_TotN,1995,23670.2681590535
River_TotN,1996,17331.4170617672
River_TotN,1997,19487.3939964545
River_TotN,1998,23444.9242758617
River_TotN,1999,24053.0618552418
River_TotN,2000,32893.3451794577
River_TotN,2001,22204.2232102429
River_TotN,2002,19025.9471615428
River_TotN,2003,19396.7588719712
River_TotN,2004,21193.9162775024
River_TotN,2005,18923.3002648807
River_TotN,2006,25682.4205483345
River_TotN,2007,23238.7705860457
River_TotN,2008,25561.5042895312
River_TotN,2009,21883.7009943197
River_TotN,2010,21205.2531197409
River_TotN,2011,28858.1861061013
River_TotN,2012,26182.4081405099
River_TotN,2013,24054.8149987955
River_TotN,2014,25345.3957575057
River_TotN,2015,25433.2967248447
River_TotN,2016,20308.2520161996
River_NO3,1990,12219.2565675289
River_NO3,1991,10724.9832950008
River_NO3,1992,13168.0848379105
River_NO3,1993,13455.5921753209
River_NO3,1994,14302.160615912
River_NO3,1995,15117.4080916173
River_NO3,1996,11181.0338023976
River_NO3,1997,12726.0761938468
River_NO3,1998,14338.4990779078
River_NO3,1999,14773.7895282686
River_NO3,2000,17544.8662695485
River_NO3,2001,12945.3189994245
River_NO3,2002,12401.126852062
River_NO3,2003,13796.7386698698
River_NO3,2004,12853.9439374122
River_NO3,2005,12076.7781378224
River_NO3,2006,15413.0506372632
River_NO3,2007,14676.2915335479
River_NO3,2008,15752.8817117059
River_NO3,2009,11715.4726972216
River_NO3,2010,12466.9068931104
River_NO3,2011,15487.8749917869
River_NO3,2012,13419.6558522807
River_NO3,2013,14229.216278797
River_NO3,2014,14161.74839348
River_NO3,2015,13657.7862060798
River_NO3,2016,11413.2030688721
River_TotP,1990,615.017016857549
River_TotP,1991,475.913685372789
River_TotP,1992,552.369469646057
River_TotP,1993,522.730714946406
River_TotP,1994,416.933858346513
River_TotP,1995,820.487865737891
River_TotP,1996,374.921059230874
River_TotP,1997,461.866067991017
River_TotP,1998,427.344476919062
River_TotP,1999,310.838285206072
River_TotP,2000,468.860690069411
River_TotP,2001,413.387099385288
River_TotP,2002,397.082489433324
River_TotP,2003,380.118503834322
River_TotP,2004,493.560024276997
River_TotP,2005,494.717879814979
River_TotP,2006,587.096747672989
River_TotP,2007,646.64871659614
River_TotP,2008,836.993982986163
River_TotP,2009,571.100845567283
River_TotP,2010,472.812203752459
River_TotP,2011,971.564359090261
River_TotP,2012,989.987235284446
River_TotP,2013,659.524370612443
River_TotP,2014,702.996572011726
River_TotP,2015,711.023905470363
River_TotP,2016,547.817218299911
River_TOC,1990,NA
River_TOC,1991,NA
River_TOC,1992,143009.254874318
River_TOC,1993,159948.386066411
River_TOC,1994,181588.739656728
River_TOC,1995,177230.854520667
River_TOC,1996,128676.823003669
River_TOC,1997,159363.877661405
River_TOC,1998,191666.375905852
River_TOC,1999,175610.115075017
River_TOC,2000,272888.266919935
River_TOC,2001,204939.617230022
River_TOC,2002,160052.425217983
River_TOC,2003,149356.775406248
River_TOC,2004,154991.997776127
River_TOC,2005,143148.661865839
River_TOC,2006,193159.09497012
River_TOC,2007,174150.870050227
River_TOC,2008,192882.091594956
River_TOC,2009,184269.977725782
River_TOC,2010,187677.432374995
River_TOC,2011,253679.157611286
River_TOC,2012,214431.578879379
River_TOC,2013,181691.197584431
River_TOC,2014,214329.4221698
River_TOC,2015,217660.649255056
River_TOC,2016,158177.598443155
River_Discharge,1990,47827.3723976528
River_Discharge,1991,34894.8502138589
River_Discharge,1992,38657.2934864021
River_Discharge,1993,46692.5330767025
River_Discharge,1994,44697.676299969
River_Discharge,1995,48499.4859885676
River_Discharge,1996,32751.6650659758
River_Discharge,1997,39900.3557609195
River_Discharge,1998,49512.9078111716
River_Discharge,1999,49006.787766201
River_Discharge,2000,64500.4213704915
River_Discharge,2001,52213.6800976988
River_Discharge,2002,43961.6362842658
River_Discharge,2003,38829.2683219253
River_Discharge,2004,42863.6034845188
River_Discharge,2005,43307.7337661174
River_Discharge,2006,47445.8111375739
River_Discharge,2007,50036.5728543907
River_Discharge,2008,55351.4848955007
River_Discharge,2009,48284.9479215892
River_Discharge,2010,46843.8197816367
River_Discharge,2011,57274.8803551044
River_Discharge,2012,53433.9087597537
River_Discharge,2013,50306.2229968433
River_Discharge,2014,56664.0739262095
River_Discharge,2015,52604.193768652
River_Discharge,2016,43635.8575085481
River_PO4,1990,252.706372517273
River_PO4,1991,191.504072262892
River_PO4,1992,182.374079307019
River_PO4,1993,225.768700883362
River_PO4,1994,150.66980254201
River_PO4,1995,406.865059151525
