Variable,Year,Quarter,Value
River_Distant_TOTN,1990,1,5328.4888673032
River_Distant_TOTN,1990,2,5768.43201875321
River_Distant_TOTN,1990,3,4263.84227393803
River_Distant_TOTN,1990,4,3932.90036779039
River_Distant_TOTN,1991,1,4654.8305341309
River_Distant_TOTN,1991,2,4990.75188582144
River_Distant_TOTN,1991,3,2756.4807429209
River_Distant_TOTN,1991,4,4211.1898799295
River_Distant_TOTN,1992,1,3774.27098297799
River_Distant_TOTN,1992,2,5589.06376134332
River_Distant_TOTN,1992,3,3467.4152313792
River_Distant_TOTN,1992,4,6712.080639276
River_Distant_TOTN,1993,1,4311.80439407489
River_Distant_TOTN,1993,2,6048.33557779335
River_Distant_TOTN,1993,3,4890.84809401889
River_Distant_TOTN,1993,4,6316.78905926088
River_Distant_TOTN,1994,1,3802.91536098409
River_Distant_TOTN,1994,2,7771.41920395915
River_Distant_TOTN,1994,3,5737.53003830724
River_Distant_TOTN,1994,4,4601.58038778984
River_Distant_TOTN,1995,1,5138.85247072535
River_Distant_TOTN,1995,2,11056.7595990143
River_Distant_TOTN,1995,3,3924.00208460263
River_Distant_TOTN,1995,4,3375.86540505315
River_Distant_TOTN,1996,1,2737.4311725262
River_Distant_TOTN,1996,2,5661.90139773266
River_Distant_TOTN,1996,3,3278.07323076676
River_Distant_TOTN,1996,4,5517.147676455
River_Distant_TOTN,1997,1,3979.39259650902
River_Distant_TOTN,1997,2,6680.16537367899
River_Distant_TOTN,1997,3,3925.9105285767
River_Distant_TOTN,1997,4,4786.77094561806
River_Distant_TOTN,1998,1,5207.65853669666
River_Distant_TOTN,1998,2,7013.86597381966
River_Distant_TOTN,1998,3,5715.46191156131
River_Distant_TOTN,1998,4,5334.9599124874
River_Distant_TOTN,1999,1,4095.69359102966
River_Distant_TOTN,1999,2,8413.3328286494
River_Distant_TOTN,1999,3,5110.18950689864
River_Distant_TOTN,1999,4,6241.60171002955
River_Distant_TOTN,2000,1,5192.62070804044
River_Distant_TOTN,2000,2,7831.1016952909
River_Distant_TOTN,2000,3,6535.40913224518
River_Distant_TOTN,2000,4,13117.4314551637
River_Distant_TOTN,2001,1,4882.73110576009
River_Distant_TOTN,2001,2,7561.67976921048
River_Distant_TOTN,2001,3,4404.30834292121
River_Distant_TOTN,2001,4,5152.41360786013
River_Distant_TOTN,2002,1,4075.04308199936
River_Distant_TOTN,2002,2,7510.50424957321
River_Distant_TOTN,2002,3,3948.73368194743
River_Distant_TOTN,2002,4,3365.19838289703
River_Distant_TOTN,2003,1,3470.83796862941
River_Distant_TOTN,2003,2,7058.16900139189
River_Distant_TOTN,2003,3,3336.93691009511
River_Distant_TOTN,2003,4,5360.87903560306
River_Distant_TOTN,2004,1,4127.92938583599
River_Distant_TOTN,2004,2,6251.34922602944
River_Distant_TOTN,2004,3,4210.66578185901
River_Distant_TOTN,2004,4,6434.30274706216
River_Distant_TOTN,2005,1,4218.01137684665
River_Distant_TOTN,2005,2,5190.01195702695
River_Distant_TOTN,2005,3,3553.25755091919
River_Distant_TOTN,2005,4,5866.34072907863
River_Distant_TOTN,2006,1,3702.0330925219
River_Distant_TOTN,2006,2,8919.69234225672
River_Distant_TOTN,2006,3,3616.44749443012
River_Distant_TOTN,2006,4,9246.02515534399
River_Distant_TOTN,2007,1,5371.92792409474
River_Distant_TOTN,2007,2,6529.93780457267
River_Distant_TOTN,2007,3,6957.08589667621
River_Distant_TOTN,2007,4,4263.60852888114
River_Distant_TOTN,2008,1,6233.0236623291
River_Distant_TOTN,2008,2,9159.10618485317
River_Distant_TOTN,2008,3,4620.05547446169
River_Distant_TOTN,2008,4,5379.14556480603
River_Distant_TOTN,2009,1,3716.77411483678
River_Distant_TOTN,2009,2,6089.71967070499
River_Distant_TOTN,2009,3,6424.07104760285
River_Distant_TOTN,2009,4,5482.6939735945
River_Distant_TOTN,2010,1,3887.08432715122
River_Distant_TOTN,2010,2,6419.35858503116
River_Distant_TOTN,2010,3,5131.17653121417
River_Distant_TOTN,2010,4,5656.72403282359
River_Distant_TOTN,2011,1,3350.8980954767
River_Distant_TOTN,2011,2,8088.01394694395
River_Distant_TOTN,2011,3,11575.2952018728
River_Distant_TOTN,2011,4,5695.74920139472
River_Distant_TOTN,2012,1,5017.09171179218
River_Distant_TOTN,2012,2,6648.73546361768
River_Distant_TOTN,2012,3,7952.37316741143
River_Distant_TOTN,2012,4,6418.47517790127
River_Distant_TOTN,2013,1,3851.65053455404
River_Distant_TOTN,2013,2,10296.40121461
River_Distant_TOTN,2013,3,4749.58558892045
River_Distant_TOTN,2013,4,5006.4782630591
River_Distant_TOTN,2014,1,7321.61896714998
River_Distant_TOTN,2014,2,7293.39080465054
River_Distant_TOTN,2014,3,3387.75887295292
River_Distant_TOTN,2014,4,7120.29815119516
River_Distant_TOTN,2015,1,5157.92257582131
River_Distant_TOTN,2015,2,6723.53883720608
River_Distant_TOTN,2015,3,7840.14020212605
River_Distant_TOTN,2015,4,5528.52318440988
River_Distant_TOTN,2016,1,5747.78347020703
River_Distant_TOTN,2016,2,6637.33762371384
River_Distant_TOTN,2016,3,3866.28787423672
River_Distant_TOTN,2016,4,3929.63156730417
River_Local_TOTN,1990,1,643.655415297399
River_Local_TOTN,1990,2,251.744829593904
River_Local_TOTN,1990,3,330.730822539835
River_Local_TOTN,1990,4,346.36990192841
River_Local_TOTN,1991,1,317.245853453591
River_Local_TOTN,1991,2,366.00261738936
River_Local_TOTN,1991,3,145.242307247429
River_Local_TOTN,1991,4,349.838698652509
River_Local_TOTN,1992,1,207.146213540887
River_Local_TOTN,1992,2,234.41973515667
River_Local_TOTN,1992,3,257.920935697548
River_Local_TOTN,1992,4,379.602031695662
River_Local_TOTN,1993,1,318.771538992954
River_Local_TOTN,1993,2,307.75364510926
River_Local_TOTN,1993,3,160.589689574325
River_Local_TOTN,1993,4,351.857729043489
River_Local_TOTN,1994,1,232.486824944486
River_Local_TOTN,1994,2,939.095748743056
River_Local_TOTN,1994,3,392.582094260582
River_Local_TOTN,1994,4,471.350667271295
River_Local_TOTN,1995,1,562.339223038166
River_Local_TOTN,1995,2,530.836985014159
River_Local_TOTN,1995,3,295.027257121893
River_Local_TOTN,1995,4,224.703968560702
River_Local_TOTN,1996,1,124.453183881426
River_Local_TOTN,1996,2,447.559326001722
River_Local_TOTN,1996,3,172.893945712047
River_Local_TOTN,1996,4,365.679430639258
River_Local_TOTN,1997,1,294.111927262672
River_Local_TOTN,1997,2,288.454665910705
River_Local_TOTN,1997,3,215.553471958064
River_Local_TOTN,1997,4,369.388335703046
River_Local_TOTN,1998,1,358.63693725444
River_Local_TOTN,1998,2,538.082219271453
River_Local_TOTN,1998,3,339.742075571514
River_Local_TOTN,1998,4,347.759205370299
River_Local_TOTN,1999,1,366.737760118293
River_Local_TOTN,1999,2,593.542084033643
River_Local_TOTN,1999,3,324.246131873534
River_Local_TOTN,1999,4,400.348812092231
River_Local_TOTN,2000,1,346.771973509038
River_Local_TOTN,2000,2,487.343138940725
River_Local_TOTN,2000,3,373.756608602202
River_Local_TOTN,2000,4,1095.88285164212
River_Local_TOTN,2001,1,434.789209037203
River_Local_TOTN,2001,2,559.491342321421
River_Local_TOTN,2001,3,250.602504493659
River_Local_TOTN,2001,4,453.574121182676
River_Local_TOTN,2002,1,316.540165804914
River_Local_TOTN,2002,2,470.987910996148
River_Local_TOTN,2002,3,215.049928183497
River_Local_TOTN,2002,4,265.4071970591
River_Local_TOTN,2003,1,324.004959966151
River_Local_TOTN,2003,2,611.81332725594
River_Local_TOTN,2003,3,236.168018421119
River_Local_TOTN,2003,4,308.571621604768
River_Local_TOTN,2004,1,370.475866487942
River_Local_TOTN,2004,2,418.904796788424
River_Local_TOTN,2004,3,257.770192421012
River_Local_TOTN,2004,4,368.940967790029
River_Local_TOTN,2005,1,231.383652446324
River_Local_TOTN,2005,2,259.093216513765
River_Local_TOTN,2005,3,139.740274202569
River_Local_TOTN,2005,4,308.369440836743
River_Local_TOTN,2006,1,156.446564339474
River_Local_TOTN,2006,2,602.501141753312
River_Local_TOTN,2006,3,255.795671803246
