Year,Cyanophycea,Cryptophycea,Dinophyceae,Prymnesiophycea,Chrysophycea,Dictyochophycea,Bacillariophycea,Raphidophycea,Euglenophycea,Prasinophycea,Chlorophycea,Uklassifisert,Kinoplastidea,Choanophycea,Rhizopoda,Kiselalger,Dinoflagellater,Flagellater
1994,0,253733.333333333,89500,522966.666666667,0,46133.3333333333,5881900,0,200,26900,NA,3880366.66666667,11500,223033.333333333,0,5881900,89500,4964833.33333333
1995,0,234566.666666667,112200,615300,0,3833.33333333333,2030233.33333333,0,1433.33333333333,11533.3333333333,NA,1576700,4833.33333333333,223066.666666667,0,2030233.33333333,112200,2671266.66666667
1996,0,90466.6666666667,16166.6666666667,570700,0,0,1232200,0,66.6666666666667,4433.33333333333,NA,1835066.66666667,4433.33333333333,60766.6666666667,0,1232200,16166.6666666667,2565933.33333333
1997,0,71000,30405,13350,1100,4450,341725,0,550,1100,NA,1964300,15550,35600,4450,341725,30405,2111450
1998,0,175950,52025,49025,0,10100,65075,0,0,23075,NA,3779925,21650,214850,0,65075,52025,4274575
1999,0,132250,62600,150000,0,17000,735200,0,0,0,NA,6292400,5750,11500,0,735200,62600,6608900
2000,0,65800,34753.3333333333,12533.3333333333,0,26.6666666666667,128966.666666667,0,0,1593.33333333333,0,692466.666666667,5483.33333333333,1566.66666666667,0,128966.666666667,34753.3333333333,779470
2001,0,45433.3333333333,71870,3133.33333333333,0,47013.3333333333,145373.333333333,2531733.33333333,0,15666.6666666667,0,1469533.33333333,7833.33333333333,37600,0,145373.333333333,71870,4157946.66666667
2002,0,136300,33100,114366.666666667,40733.3333333333,0,583266.666666667,1566.66666666667,13.3333333333333,7833.33333333333,0,2400800,1566.66666666667,31333.3333333333,3133.33333333333,583266.666666667,33100,2737646.66666667
2003,0,27020,11640,390,0,390,3088217.5,2645,0,390,0,3076125,0,780,2350,3088217.5,11640,3110090
2004,0,147266.666666667,29413.3333333333,10183.3333333333,0,7833.33333333333,857486.666666667,3133.33333333333,0,70500,0,158233.333333333,1566.66666666667,10966.6666666667,0,857486.666666667,29413.3333333333,409683.333333333
2005,0,63450,15670,2350,0,14100,5263475,0,725,51700,0,136550,0,9400,2350,5263475,15670,280625
2006,0,15070,8894,13200,240,49368,772242,0,116,5650,0,1433110,0,1880,0,772242,8894,1518634
2007,0,37100,33710,75200,0,51125,3814420,0,805,4700,0,865850,0,4725,2350,3814420,33710,1041855
2008,0,25093.3333333333,34553.3333333333,32233.3333333333,0,12533.3333333333,2948003.33333333,0,1666.66666666667,0,0,91916.6666666667,0,0,0,2948003.33333333,34553.3333333333,163443.333333333
2009,0,63270,61608,59000,27040,30478,4104586,9426,4392,14840,0,190250,0,2370,470,4104586,61608,401536
2010,0,26383.3333333333,17916.6666666667,212016.666666667,400,2400,497966.666666667,0,193.333333333333,13.3333333333333,0,259350,0,0,0,497966.666666667,17916.6666666667,500756.666666667
2011,0,76690,24938,235970,5190,24,643578,0,1240,940,0,144360,940,940,720,643578,24938,467014
2012,NA,521700,139700,29500,0,8400,80,0,0,249100,NA,285600,0,0,0,80,139700,1094300
2013,0,28225,14345,0,6185,20,670025,1025,10,410,0,1379250,280,380,NA,670025,14345,1415785
2014,0,315475,65525,24750,0,28500,262370,0,280,0,0,2807250,0,70000,NA,262370,65525,3246255
2015,0,174544,25400,5400,64,528,171760,0,1096,40,0,653824,0,21200,NA,171760,25400,856696
2016,0,272400,10255,24000,2550,4490,1573520,0,545,20,NA,3018060,0,47490,NA,1573520,10255,3369555
